Date,Time,Away_Team,Home_Team,Away_Money_Line,Home_Money_Line,Away_Total,Home_Total,temp,DP,HUMID,Baro,M,N,O,P,Q,R,Total_Hits,Total_Walks,Total_Walks_Hits,Total_Bases,Away_Inning_1,h9,h8,h7,h6,h5,h4,h3,h2,h1,Home_Inning_1,a9,a8,a7,a6,a5,a4,A3,A2,A1,AQ,home_runs,stolen_bases,Away_Starter_Last_Name,Away_Starter_Handedness,Home_Starter_First_Name,Home_Starter_Last_Name,Home_Starter_Handedness,LD_PA,GB_PA,FB_PA,SO_PA,LD_BABIP,GB_BABIP,FB_BABIP,BF
9/18/2015,6:00 PM,Padres,Rockies,108,-117,10.5 +100,10.5 -110,63,28.9,28,30.09,East,12.7,1.22,9,2.25,11.25,11,17,7,24,35,0,0,3,0,0,0,1,3,0,\N,0,2,1,0,0,0,1,0,0,,1,,,,,,,,,,,,,,
6/8/2015,6:00 PM,Cardinals,Rockies,-141,130,10.5 +108,10.5 -119,75.9,46,35,29.99,East,8.1,1.1844,11.25,4.5,15.75,14,24,2,26,46,0,0,0,1,0,5,0,0,5,\N,0,0,0,1,1,1,0,0,0,,4,,,,,,,,,,,,,,
9/26/2015,6:00 PM,Dodgers,Rockies,-164,151,11.5 -106,11.5 -104,75,42.1,31,29.92,South,12.7,1.1842,4.5,6.75,11.25,14,25,4,29,48,2,0,0,0,0,0,1,1,4,\N,0,0,0,3,1,0,0,2,0,,3,,,,,,,,,,,,,,
9/22/2015,6:00 PM,Pirates,Rockies,-142,131,11 -101,11 -109,71.1,46.9,42,29.9,North,8.1,1.1913,6.75,11.25,18,9,19,9,28,38,0,0,0,0,0,0,2,1,0,\N,0,0,0,0,0,2,1,2,1,,1,,,,,,,,,,,,,,
9/19/2015,6:00 PM,Padres,Rockies,-107,-101,11 -125,11 +113,69.1,37,31,29.91,South,9.2,1.1978,11.25,2.25,13.5,12,25,8,33,44,0,1,0,0,1,3,0,1,4,\N,0,0,0,1,0,0,1,0,0,,2,,,,,,,,,,,,,,
9/6/2015,2:00 PM,Giants,Rockies,-183,168,10 -100,10 -110,82,35.1,18,29.9,Variable,5.8,1.1691,4.5,15.75,20.25,11,23,4,27,38,0,0,0,0,2,0,0,0,2,\N,0,0,0,0,5,1,0,1,0,,1,,,,,,,,,,,,,,
9/1/2015,1:00 PM,Diamondbacks,Rockies,-123,114,11.5 -107,11.5 -103,82.9,36,19,29.91,Variable,5.8,1.1675,4.5,4.5,9,10,23,7,30,59,1,1,0,0,1,0,0,1,0,\N,0,0,3,1,0,0,1,1,0,,5,,,,,,,,,,,,,,
8/22/2015,6:00 PM,Mets,Rockies,-113,104,10.5 -128,10.5 +116,69.1,44.1,40,30.02,ENE,10.4,1.2012,9,31.5,40.5,23,35,6,41,64,0,0,1,4,1,0,0,3,0,\N,0,0,0,0,3,0,8,3,0,,3,,,,,,,,,,,,,,
8/5/2015,1:00 PM,Mariners,Rockies,-112,106,11 +102,11 -113,88,30.9,13,29.9,SE,8.1,1.1568,6.75,11.25,18,12,21,12,33,52,2,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,,3,,,,,,,,,,,,,,
7/26/2015,2:00 PM,Reds,Rockies,-115,106,11.5 +106,11.5 -117,82.9,48.9,31,29.85,South,17.3,1.1631,31.5,13.5,45,24,28,11,39,66,0,0,0,1,3,1,10,0,2,\N,1,0,0,0,2,0,3,1,0,,6,,,,,,,,,,,,,,
7/11/2015,2:00 PM,Braves,Rockies,134,-145,10 -112,10 +102,82.9,39,21,29.95,SSE,8.1,1.1686,0,4.5,4.5,3,16,9,25,40,1,0,0,0,0,0,0,0,2,\N,0,0,0,0,0,0,1,1,0,,3,,,,,,,,,,,,,,
6/23/2015,6:00 PM,Diamondbacks,Rockies,-125,115,10.5 +102,10.5 -112,81,57,44,29.87,South,13.8,1.1662,18,9,27,15,22,5,27,53,0,1,1,0,6,1,0,1,0,\N,0,1,0,0,1,0,0,3,0,,8,,,,,,,,,,,,,,
6/18/2015,1:00 PM,Astros,Rockies,-113,104,10.5 -115,10.5 +104,73,55.9,55,30.02,NE,5.8,1.19,0,9,9,12,20,8,28,46,0,1,0,0,0,0,0,0,3,\N,0,3,0,0,2,0,2,0,1,,3,,,,,,,,,,,,,,
6/19/2015,6:00 PM,Brewers,Rockies,131,-142,10.5 -105,10.5 -105,84.9,50,30,29.72,SSE,12.7,1.1535,6.75,6.75,13.5,8,27,2,29,51,1,0,0,1,0,3,0,0,0,\N,0,0,3,0,0,1,1,1,3,,2,,,,,,,,,,,,,,
6/9/2015,6:00 PM,Cardinals,Rockies,-115,106,10 -102,10 -108,75,48.9,40,29.82,ESE,5.8,1.1791,0,2.25,2.25,5,14,6,20,30,0,0,2,2,0,0,0,0,0,\N,0,1,0,1,1,0,0,0,0,,3,,,,,,,,,,,,,,
6/1/2015,6:00 PM,Dodgers,Rockies,-108,100,10.5 -105,10.5 -105,68,46.9,47,30.07,SSW,23,1.2052,4.5,4.5,9,15,27,6,33,53,0,2,0,0,0,2,0,0,0,\N,0,3,0,6,0,0,0,2,0,,5,,,,,,,,,,,,,,
5/20/2015,6:00 PM,Phillies,Rockies,121,-131,10 +107,10 -118,39.9,39,97,30.29,ENE,5.8,1.2837,2.25,4.5,6.75,6,16,5,21,29,0,0,1,0,0,1,0,0,0,\N,0,0,0,0,0,0,2,0,2,,1,,,,,,,,,,,,,,
5/23/2015,9:00 PM,Giants,Rockies,-116,107,10.5 +108,10.5 -119,45,41,86,29.9,West,3.5,1.254,4.5,4.5,9,8,19,5,24,31,0,0,1,2,0,2,0,0,0,\N,0,0,1,0,1,0,0,1,0,,1,,,,,,,,,,,,,,
5/19/2015,6:00 PM,Phillies,Rockies,104,-113,9 -109,9 -101,46.9,39.9,77,30.04,NW,6.9,1.2553,0,6.75,6.75,10,18,6,24,37,0,1,2,0,0,0,0,0,3,\N,0,2,0,0,0,0,1,2,0,,1,,,,,,,,,,,,,,
5/18/2015,6:00 PM,Phillies,Rockies,-110,102,9 +102,9 -113,46.9,43,86,30.25,North,6.9,1.2636,2.25,0,2.25,7,20,4,24,32,1,1,0,0,0,0,0,1,0,\N,0,0,0,3,0,0,0,0,1,,0,,,,,,,,,,,,,,
5/6/2015,4:00 PM,Diamondbacks,Rockies,123,-133,10.5 -104,10.5 -106,55,50,83,29.64,SSE,10.4,1.2173,2.25,9,11.25,6,17,2,19,31,0,0,0,0,0,1,0,0,0,\N,0,1,0,0,3,1,0,0,0,,1,,,,,,,,,,,,,,
4/25/2015,6:00 PM,Giants,Rockies,125,-135,9.5 -115,9.5 +104,54,37.9,55,29.67,South,3.5,1.223,2.25,6.75,9,7,23,5,28,45,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,2,0,1,0,,4,,,,,,,,,,,,,,
4/23/2015,1:00 PM,Padres,Rockies,100,-108,10 -107,10 -103,66.9,24.1,20,29.68,South,12.7,1.1949,2.25,2.25,4.5,3,15,8,23,29,0,0,0,0,1,0,0,0,1,\N,0,0,0,0,0,1,0,0,0,,1,,,,,,,,,,,,,,
